e,wl,wp,ccq,phicq,Es
0.921,38.8,22.7,26,15,5.66
0.777,34.3,19.1,29,19,5.16
0.815,39.1,20.4,29,14,4.12
0.839,34,19.1,29,15,4.96
0.884,36.9,20.6,21,17.5,6.14
0.95,34.8,20.4,20,17,4.01
0.832,39.9,22,29,15.5,3.97
0.94,38.6,21.8,23,15.5,4.31
0.858,35.9,21,27,17,5.8
0.874,32.7,19.6,16,25,4.73
0.854,34.1,20.6,14,25.5,7.15
1.002,36.1,20.8,21,19,4.15
0.962,35.5,19,21,17.5,5.08
0.773,43,23.5,29,18.5,5.43
0.836,33.7,20.6,14,23.5,6.81
0.936,34.2,20.1,21,19,5.86
0.926,34.3,19.4,20,19.5,4.36
0.969,36.3,21.9,21,18.5,5.38
1.007,35.9,21.2,20,18.5,4.25
0.891,32.3,19.8,14,25,5.11
1.141,38.5,21.8,17,16,4.87
1.03,36.8,20,17,17,4.86
0.942,35.8,19.9,21,20.5,5.66
0.84,35.7,19.4,27,18.5,5.19
0.986,42.1,22.1,21,14,4.81
0.832,33.7,20.4,19,24,5.04
0.76,33.8,20.1,19,24,5.4
0.788,34.1,19.8,29,17.5,4.71
0.902,35.3,19.6,26,19,4.12
0.961,35.4,20.4,24,16,5.05
0.8,33.6,19.9,17,25.5,4.21
0.852,36.9,20.4,29,16,4.15
1.037,38.2,21.5,21,17,4.5
0.937,43.1,21.7,24,14,3.45
0.994,43.1,22.4,21,14,3.44
0.829,35,20.1,24,15,5.78
0.972,34.7,20.2,20,16,4.38
0.865,35.2,20.2,24,15,4.56
0.857,34.2,19.7,27,15.5,5.05
1.08,40.5,20.2,19,14,4.29
0.99,38.3,22.2,20,18.5,3.88
1.083,39.1,22,19,17,4.35
0.946,38.4,20.9,26,15.5,3.82
0.979,36.5,20.5,14,17.5,4.19
1.066,35.2,19.3,13,15.5,3.15
0.924,33.8,20.7,14,24,5.14
0.937,33.2,20.5,14,24,5.38
0.94,35.6,20.2,26,18.5,5.66
1.033,36.7,20.6,13,19,4.6
1.09,38.1,22.3,19,17,4.08
1.08,38.3,22.2,17,20.5,5.73
0.964,33,20.2,14,24,4.83
0.958,30.9,18.8,14,24,5.15
0.956,35.6,21.1,23,16,4.45
0.947,35.9,19.2,21,17.5,4.2
0.819,32.8,19.9,17,23.5,5
0.947,34.3,19.9,23,18.5,4.61
0.846,33.5,20.6,16,22.5,4.99
0.977,34.9,19.7,21,20.5,4.85
0.994,35.5,19.9,21,15.5,4.85
1.033,38.6,20,20,15,4.56
0.934,38.6,20.4,21,16,3.88
0.918,38.5,20.2,23,15.5,3.78
0.915,36.7,21.8,24,18.5,4.63
0.999,39,21.9,24,14,3.66
0.885,36.3,20.2,26,17,4.74
0.924,35.4,19.6,20,16,4.01
0.952,36.7,20,20,15.5,3.6
0.836,36.4,19.8,29,19.5,5.08
1.023,37,22.2,19,16,4.09
1.027,35.2,19.2,17,19,4.35
0.953,34.6,20.4,19,16,4.1
