e,wl,wp,ccq,phicq,Es
0.981,39.6,21.4,20,15.5,3.6
0.91,31.8,18.4,14,25.5,6.1
0.996,41,21.5,17,12,3.05
0.982,40.8,21.3,17,14,3.13
0.999,40.4,20.6,17,11.5,3.12
0.955,36,21,17,14,4.05
1.025,39.1,20.4,17,13.5,3.11
0.993,38.3,19,17,14,3.05
0.981,38.8,19.6,17,15,3.47
0.915,34.8,18.5,17,17.5,3.76
1.027,40.5,21.1,17,12.5,2.65
0.981,38.4,19.4,17,13.5,2.89
0.952,36.7,19.7,19,18.5,3.71
0.987,38,19.6,17,12.5,2.88
0.944,38.6,19.6,17,14,2.89
0.954,38.2,19.5,17,12.5,2.6
0.914,39.9,22,21,17,4.13
0.889,39.1,19.8,24,17.5,3.58
0.852,39.1,21.8,24,15.5,4.62
0.794,34.7,20.9,23,25,6.06
0.906,39.1,21.9,23,14,4.1
1.057,41.2,22.2,17,12,2.85
0.88,31.7,18.5,13,26,4.79
1.108,41.6,20.3,16,11.5,3.17
0.926,34.2,18.9,17,14,3.75
1.123,41,20.8,17,15,2.83
1.085,39.1,21.9,15,13,3.01
0.954,34.6,21.8,14,24,6.19
0.734,35.9,19.7,29,20.5,5.24
0.804,40.3,20.9,29,14,5.32
0.895,39,20.4,29,15.5,3.85
0.891,36.9,21.2,24,15.5,4.22
0.917,34.8,19,23,16,4.44
0.814,36.1,19.6,24,15.5,4.99
0.761,35.1,20.3,29,17,4.73
0.939,32.5,20.5,14,25.5,6.8
0.958,34.1,20.5,14,26,5.19
1.013,40.8,22.1,17,14,3.39
1.014,38.6,20.1,19,15.5,2.5
1,40.6,22.5,19,15,3.6
0.927,38.1,20.5,19,16,3.28
0.892,38.7,21.3,21,15,3.7
0.961,34.9,20.1,21,17,3.95
1.094,39.1,20.3,17,14,2.72
1.043,39.9,20.3,19,17,3.13
1.076,39.6,21.6,16,13.5,2.78
1.005,38.6,21.3,16,12,3
0.861,38.9,21.4,21,14,4.07
1.048,38.7,20.8,16,12,3.37
0.852,35.1,21,24,23,6.3
0.911,35.1,19.6,19,14,5.05
0.871,32.2,20.1,29,26,5.67
0.977,41.1,22.1,19,17,3.28
0.836,30.8,18.5,14,25,5.3
0.826,31.8,17.9,20,25,4.25
0.821,37.8,22,29,21,5.36
0.877,31,19.7,17,26,4.21
0.777,36.7,21.4,29,17.5,5.48
0.957,42.4,22.1,17,11.5,2.83
0.836,41.6,22.5,29,15.5,4.07
0.921,39.3,20.8,20,14,4.16
0.99,39.1,21.1,17,15.5,3.23
1.076,39.4,21.1,17,13.5,3.31
1.095,41.1,21.6,17,10,2.69
0.983,40.9,22.1,16,14,2.79
1.072,39.8,20.7,14,14,2.62
0.887,34.8,21.1,14,25.5,6.91
0.911,35.5,20.7,19,12.5,4.49
0.76,31.7,18.8,17,23.5,6.38
1.072,39.2,21.8,16,10.5,2.53
1.02,41.3,22.9,16,10,3.13
0.905,37.5,20.2,26,15,3.87
0.832,35.9,21.5,24,19.5,4.28
0.98,43.4,23.4,17,11.5,3.01
0.993,42.1,20.8,17,12,3.77
0.996,44.7,22.9,17,11.5,3.26
0.856,33.3,20.9,19,24,5.12
1.028,41.9,23.5,16,10.5,3.04
1.046,39.9,20.4,16,12.5,2.6
1.034,38.4,21,16,12,2.77
0.969,44.4,21,19,14,3.48
0.986,38.4,22.3,19,17.5,3.21
0.895,36.8,22.4,23,20.5,4.49
0.958,30.4,18.2,14,24,6.54
0.918,32.9,19.9,14,21,5.69
0.916,32.7,20.3,14,22.5,5.04
0.866,39.2,21,29,15.5,4.13
1.054,40.4,20.8,21,17,3
1.066,38.9,22.1,16,16,3.56
0.943,32.6,18.3,19,20.5,5.28
0.997,36.3,20.7,14,14,3.22
1.111,34.3,18.2,16,15.5,3.03
1.104,37.6,20.1,14,13.5,2.76
0.949,32.9,18.7,17,17,3.67
0.97,35.1,18.9,17,17,3.38
1.046,36.8,21.7,19,16,3.22
0.904,35.9,21.5,21,21,3.67
1.051,37.7,20.9,20,19,3.45
0.953,34.4,19.2,20,17.5,3.39
0.899,35.3,19.1,24,17,3.93
0.99,33.7,19.8,14,24,5.45
0.904,32.2,19.8,14,24,4.7
0.93,37.1,20.5,26,17,4.03
0.921,33.8,20.1,13,25.5,4.23
0.973,34.2,19.3,21,19.5,4.66
0.94,34.4,19.5,21,19,4.84
0.996,33.1,20,14,25,5.42
0.847,36.9,20.2,27,15.5,3.96
0.985,35.8,19.1,21,19,4.34
0.857,31.3,19,14,25,5.71
0.962,39.7,20.9,21,13.5,5.02
0.868,33.5,19.9,14,25,5.19
0.839,30.6,17.9,14,24,6.01
1.016,39.4,20.9,21,15.5,4.72
0.832,31.3,18.1,14,25.5,5.23
0.828,32.4,19.2,14,24,5.45
0.867,32.1,19.3,14,25,6.23
0.928,36.9,20.2,21,18.5,3.83
0.965,40.6,21,21,15.5,4.15
0.95,39.3,20.8,23,14,4.08
0.949,32,19.8,14,26,5.15
0.928,38.6,20.9,26,15,4.79
0.946,34.3,19.8,14,17.5,3.79
0.95,35.6,21.1,14,15.5,3.25
1.099,37.9,22.9,13,15,2.74
0.942,34.6,20.3,14,15,3.46
1.111,37.4,20.2,13,12.5,2.52
0.955,34,19.6,14,14,3.72
0.936,33.4,19,16,19.5,4.05
0.977,34.7,19.5,14,14,3.47
0.989,35.1,19.9,14,15.5,3.27
1.149,41.7,22.8,16,12,2.57
0.977,38.3,22.5,16,17,3.2
0.946,35.3,19.7,16,18.5,3.57
0.917,33.4,19.2,16,17,4.35
0.971,38.7,22.4,17,15.5,3.35
1.028,38.8,22.4,16,15.5,3.85
0.946,38.5,22.2,14,15,3.56
0.933,35.3,20.1,16,19.5,4.01
0.967,37.9,21.7,14,15,3.49
0.937,35.6,20.6,16,16,3.72
0.948,38.6,22.5,17,15.5,3.41
0.933,35.2,19.6,14,16,4.21
0.942,37.5,21.3,14,14,3.36
1.06,38.6,21.5,17,14,3.02
1.073,42.3,23.3,17,13.5,2.91
0.958,37.7,21.4,16,15.5,4.11
0.939,33.6,19.4,17,16,3.87
0.946,34.2,19.4,17,19.5,4.1
1.214,42.4,23.3,16,12.5,2.74
1.063,41.9,22.5,17,12.5,3.07
1.149,38.5,22.4,13,17.5,4.1
1.114,34.5,19.9,13,19,4.53
1.199,35.9,19.1,13,16,3.19
1.196,38.3,23,13,17,2.68
1.004,40.4,22.7,17,13.5,4.26
1.112,30.7,18.6,10,25.5,3.8
1.091,37.2,21.6,13,17.5,4.31
1.21,34.3,20,13,19,2.7
1.129,34.6,20.4,13,17.5,4.22
1.12,33.8,21.6,10,24,4.59
1.108,31.8,19.2,10,22.5,2.7
1.09,33.5,20.9,10,20.5,4.33
1.184,34.9,20.7,13,15,2.75
1.187,34.1,22.4,10,21.5,3.2
1.162,35.1,22.4,10,23,4.42
1.144,32,20.9,10,25.5,4.49
1.041,36.7,22.7,14,17.5,4.02
1.124,33.6,20.6,10,24,4.65
1.092,34.4,19.9,13,19,3.67
1.215,39.2,22.1,16,11.5,3.2
1.085,33.9,20.9,10,24,4.37
1.12,33.8,21.6,10,24,4.59
1.187,34,21.7,10,23.5,3.73
1.159,33.5,20.4,10,25,4.68
1.103,34.9,21.6,11,22.5,4
1.141,33.3,20.8,10,23.5,4.24
1.063,32.3,18.3,10,23,4.13
1.076,34.2,19,13,19,3.72
1.029,34.9,21.6,10,23.5,4.31
1.103,34.5,21.9,10,24,4.04
1.134,34.8,21.8,10,24,3.47
1.112,34.7,21.8,11,22.5,3.97
1.099,33.8,21.1,10,23.5,3.6
1.065,32.6,21.2,10,24,5.03
1.091,37.2,21.6,13,17.5,4.31
1.11,34.9,23.8,10,22.5,4.52
1.081,35.6,22.6,10,23,4.35
1.288,35.7,20.7,13,15.5,2.58
1.21,34.3,20,13,19,2.7
1.129,34.6,20.4,13,17.5,4.22
1.121,32.1,18.8,10,23,4.33
1.102,33.7,21.6,10,25.5,4.44
1.156,33.3,20.1,10,24,4.58
1.224,37.6,21.4,13,15.5,3.92
1.114,35,20.7,13,19,3.9
1.127,34.5,21.3,10,22.5,4.21
1.253,37.4,20.5,13,17.5,3.1
1.193,38.8,22.6,13,17,3.36
1.176,35.2,23,10,23.5,4.93
1.119,37,22.6,13,17.5,2.79
1.179,34.9,20.6,13,17.5,3.44
1.189,36.8,22.3,13,17.5,3.94
1.108,35.1,22.4,10,22.5,4.69
1.098,38.2,22.3,13,19.5,3.58
1.102,37.2,21.6,13,17,2.45
1.095,31.8,17.7,13,17,2.93
1.411,43,22.2,14,13.5,2.05
1.406,40.6,21.9,13,10,1.91
1.259,38.3,22,13,15.5,2.47
1.101,37.3,20.4,13,15.5,3.67
1.095,35.1,20.9,13,19.5,3.79
1.178,39.2,20.3,16,12,3
1.058,35.6,20.6,13,16,2.77
1.012,36.7,20.6,13,15,3.27
0.954,35.5,19.6,14,15.5,3.19
1.144,33.6,21,10,24,3.57
1.198,36,20.8,13,21,4.36
1.132,35.8,19.6,13,19.5,3.74
1.115,32.3,19.3,10,24,4.3
1.095,31.6,18.3,10,25,4.18
1.152,33,19.7,10,25,4.21
1.15,33.4,19.7,10,24,4.61
1.11,32.6,20.4,10,23.5,4.28
1.117,33.7,18.8,13,21,3.68
1.135,33.3,19,13,19,3.43
1.147,35,19.5,13,21.5,4.72
1.134,34.1,19.9,13,21,3.83
1.167,33.3,21.2,10,25,3.39
1.28,37.6,22.9,13,18.5,2.49
1.139,36.4,19.8,13,19,3.47
1.029,34,19.7,13,18.5,4.14
0.983,35.1,19.6,13,17.5,3.36
1.08,38.8,21.7,13,12.5,2.93
1.019,35.9,19.7,13,15.5,2.85
1.073,32.6,18.9,10,21.5,3.83
1.072,37.7,20.1,16,12,2.92
1.004,35,19.4,14,15,3.4
1.049,35.1,19.5,13,15,2.88
0.96,34.8,20.7,14,14,3.65
0.98,33.7,19,14,14,4
1.066,36.2,19.6,13,14,2.47
0.99,34.2,18.9,14,15,3
1.042,35.2,20.6,13,17,3.46
0.936,32.7,18.2,17,17.5,4.12
1.001,36.2,20.7,14,14,3.63
0.924,34.8,19.1,14,17.5,3.32
0.974,34.8,18.8,14,19,3.89
0.94,33.4,20.6,13,23.5,3.71
0.983,35.1,19.6,13,17.5,3.36
1.08,38.8,21.7,13,12.5,2.93
1.019,35.9,19.7,13,15.5,2.85
1.073,32.6,18.9,10,21.5,3.83
1.072,37.7,20.1,16,12,2.92
1.004,35,19.4,14,15,3.4
1.049,35.1,19.5,13,15,2.88
0.96,34.8,20.7,14,14,3.65
0.98,33.7,19,14,14,4
1.066,36.2,19.6,13,14,2.47
0.99,34.2,18.9,14,15,3
1.042,35.2,20.6,13,17,3.46
0.936,32.7,18.2,17,17.5,4.12
1.001,36.2,20.7,14,14,3.63
1.178,37.7,21.2,13,14,2.68
1.042,38.8,21.5,15,13.5,2.83
1,37.6,20,15,12,3.32
0.892,33.2,19.1,17,16,4.09
1.048,41.1,21.5,15,11,3.01
1.077,38.3,21,16,12,2.34
1.002,34.8,19.6,14,15.5,3.32
1.081,38.5,20.6,15,10.5,2.73
1.045,37.9,20.7,16,13.5,3.07
1.189,41.3,20.9,16,12,2.84
1.051,36.1,20.5,13,16,3.07
1.048,38.1,20.7,16,13.5,3.26
1.052,33.5,19.5,10,25.5,4.75
1.096,32.3,19.1,10,25,4.65
0.977,37.7,20.5,16,12.5,3.08
0.971,35,20.9,14,15,4.15
1.083,40.5,22.7,16,13.5,2.75
1.075,34.9,19.7,12,15,3.17
1.162,38.6,20.8,14,10,2.39
1.101,35.7,21.5,10,22.5,3.29
1.187,37.2,21.5,13,17.5,3.46
1.108,32.8,20.3,10,23,4.09
1.078,35,20.6,14,17.5,2.66
1.092,33.9,20.7,11,20.5,4.41
1.068,31.3,17.9,9,24,4.1
1.051,32.9,20.6,10,23.5,4.72
1.057,31.6,19.6,10,25,4.03
1.003,33.6,21.1,10,25,4.65
1.103,35.5,20.9,13,21.5,3.43
1.133,34,21.4,10,23.5,4.47
1.074,34.5,22.1,11,24,5.12
1.038,34.3,21,11,25,5.3
1.199,36.3,20.6,13,19,3.97
1.19,41,21.8,17,12,2.97
1.205,36.2,19.6,13,17.5,3.03
1.08,36.5,20,13,20.5,4.32
1.169,36.7,21.6,13,19.5,3.12
1.196,38,21.2,14,20.5,2.86
1.101,33.9,19.4,13,20,3.39
1.006,34.9,21.9,10,24,5.27
1.105,33.9,19.1,13,19,3.17
1.084,34.1,20.6,10,23,4.94
1.145,32.7,19,10,23,4.28
1.073,32.5,19.5,10,23.5,4.26
1.332,41.5,22,13,10,2.38
1.046,30.2,18.1,10,24,3.62
1.243,35.4,19.7,13,16,2.79
1.176,36.2,21.1,13,15,3.24
1.248,39.5,22.8,13,15,2.69
0.985,30.3,17.2,11,19.5,3.55
1.119,34.9,20.3,13,17.5,2.43
1.104,36,21.3,13,21,2.73
1.041,32.1,18.8,11,23.5,4.05
1.126,34.5,20.4,13,21,2.24
1.104,34.9,20,13,13.5,2.56
1.223,35.5,21.1,13,13.5,2.14
1.046,30.2,18.1,10,24,3.62
1.091,34.9,20.6,13,15.5,2.7
1.086,33.8,19.2,13,15,3.15
1.064,35,19.9,13,14,2.76
1.046,30.2,18.1,10,24,3.62
1.243,35.4,19.7,13,16,2.79
1.13,33.4,19.5,10,22,4.32
1.179,32.8,19.8,10,22.5,2.6
1.128,30.8,19.9,10,24,3.48
1.179,34,19.2,13,19.5,3
1.038,30.7,17.9,10,25.5,4.53
1.101,35.9,20.2,13,14.5,2.72
1.251,34.4,18.9,13,16,2.66
1.212,33.7,19.6,10,22,2.23
1.204,34.5,19.5,13,16,2.49
1.181,30.4,18,10,24.5,2.55
1.325,34.1,19.1,13,15,2.24
1.084,30.2,17.5,10,23.5,3.42
1.115,37.9,22.6,13,18.5,2.86
1.243,35.4,19.7,13,16,2.79
1.086,34.2,19.9,13,15.5,3.05
1.033,36.1,20.3,14,15.5,3.38
1.083,34.5,19,13,19,3.25
0.929,36.6,20.4,16,15.5,3.92
0.923,34.4,19,16,15.5,4.03
1.084,36.5,20.2,13,15.5,3.5
0.998,35.5,20.6,14,15.5,3.77
0.966,38.8,21.2,14,11.5,3.26
0.992,38.7,21.5,14,10.5,3.59
0.977,38.3,20.3,14,11.5,3.52
1.112,36.4,20.9,13,17,3.57
1.395,44,23.9,14,14,1.8
1.192,34.2,19.4,13,17,3.69
1.388,42.3,22.6,14,12,2.11
1.218,37.6,22.5,13,16,2.57
0.92,34,19,16,15,4.26
1.066,41.3,22.7,16,12,2.7
1.066,38.4,21,16,14,2.7
1.048,38.5,20,16,12.5,3.25
1.071,38.9,20.2,16,12.5,3.08
0.946,35.1,19.6,14,17.5,3.35
0.997,36.7,21.8,14,17,3.17
1.299,42.7,22.5,16,13.5,2.43
1.337,45.4,23.5,14,12.5,1.91
0.943,36.1,20.9,16,18.5,4.05
1.014,35.3,20.9,16,17.5,3.37
0.911,36,19.9,14,16,4.11
1.106,38.9,21.4,17,15,3.07
1.105,30.1,18,17,25,4.37
1.004,35.6,19,17,16,3.75
0.915,35.5,20.1,16,17.5,4.71
1.021,38.8,22.1,17,18.5,4.12
0.973,37.6,21,14,19,3.63
1.195,42.6,23.3,17,13.5,2.65
0.923,36.1,19.5,14,17.5,3.29
0.992,38,21.3,14,16,3.7
1.261,42.8,24,16,12.5,2.27
1.094,40,20.4,16,15,3.14
0.891,30.6,17.8,14,24,4.34
1.027,36.5,20.4,16,16,3.37
0.974,38.8,21.8,17,16,3.38
1.09,32.4,19.9,10,24,5.1
1.047,36.7,21.1,13,17.5,4.57
1.213,38.1,21.1,13,17.5,4.02
0.97,31.5,20.7,14,23.5,4.64
1.101,36,20.8,13,19,4.46
1.245,38.6,22.7,13,16,2.27
0.927,36.3,21.7,14,17,5.01
1.242,36.8,21.1,13,16,2.27
1.245,35.2,20.9,13,17.5,2.11
1.022,33.7,20.4,10,23.5,4.17
1.186,36.1,21.4,13,17,3.64
1.122,35.8,20.7,13,20.5,4.25
1.108,32.5,18.8,10,25,4.36
1.181,36.2,20.8,13,18.5,3.75
1.207,37.5,21.7,13,17,2.92
1.209,35.7,20.5,13,15.5,2.77
1.195,37.7,21.5,13,12.5,2.82
1.227,34,19.7,13,14,3.01
1.198,38.9,21.9,13,15,2.71
1.244,36.5,21,13,15,2.28
1.218,36.5,20.1,13,16,2.13
1.227,38.4,22,13,15.5,2.65
1.178,34,19.6,13,15,3.77
1.199,35.2,19.6,13,19,3.13
1.142,35.6,20.5,13,17,3.68
0.955,34.4,19,14,17,3.11
1.059,35.8,19.4,14,14,3.11
1.098,34.1,19.9,14,16,3.18
1.206,34.7,19.8,13,14,2.45
1.18,38.9,21.7,16,13.5,3.01
1.22,37.4,21.3,13,14,2.46
1.273,38,21.4,13,12.5,2.47
1.315,39.6,22.1,14,12.5,1.62
1.152,33.5,20.6,10,24,3.58
1.161,33.3,20.6,10,23,3.61
1.17,34.9,21.4,10,25,3.93
1.179,32.2,19,10,24,3.24
1.156,31.9,18.9,10,23,3.73
1.293,35.5,21.4,13,15.5,3.33
1.013,29.7,18.2,10,23.5,4.24
1.253,36.1,21.2,13,12.5,2.48
1.162,36.2,21.9,13,18.5,2.08
1.098,38.2,22.3,13,19.5,3.58
1.102,37.2,21.6,13,17,2.45
1.095,31.8,17.7,13,17,2.93
1.411,43,22.2,14,13.5,2.05
1.406,40.6,21.9,13,10,1.91
1.259,38.3,22,13,15.5,2.47
1.101,37.3,20.4,13,15.5,3.67
1.095,35.1,20.9,13,19.5,3.79
1.178,39.2,20.3,16,12,3
1.058,35.6,20.6,13,16,2.77
1.012,36.7,20.6,13,15,3.27
0.954,35.5,19.6,14,15.5,3.19
1.144,33.6,21,10,24,3.57
1.198,36,20.8,13,21,4.36
1.132,35.8,19.6,13,19.5,3.74
1.115,32.3,19.3,10,24,4.3
1.095,31.6,18.3,10,25,4.18
1.152,33,19.7,10,25,4.21
1.15,33.4,19.7,10,24,4.61
1.11,32.6,20.4,10,23.5,4.28
1.117,33.7,18.8,13,21,3.68
1.135,33.3,19,13,19,3.43
1.147,35,19.5,13,21.5,4.72
1.134,34.1,19.9,13,21,3.83
1.167,33.3,21.2,10,25,3.39
1.28,37.6,22.9,13,18.5,2.49
1.139,36.4,19.8,13,19,3.47
1.029,34,19.7,13,18.5,4.14
0.974,37.3,19.9,14,12.5,3.04
1.107,36.9,19.5,14,12.5,2.69
1.405,40.7,21.3,13,10,1.79
1.405,42.2,22.1,14,11.5,1.96
0.934,34.9,20.1,14,15,3.14
1.152,37.8,20.1,14,10.5,2.33
0.892,37.4,19.8,14,17,3.55
0.965,38.1,20.9,14,12.5,3.69
1.177,37.1,20,14,11.5,3.04
1.151,38.4,21.1,14,12,2.75
1.201,38.6,19.4,14,11.5,2.15
0.889,39.6,21.2,17,14,3.64
0.982,37.8,20.4,16,10.5,3.51
0.952,37,19.6,16,11.5,3.51
1.091,37.4,19.9,13,10,2.43
1.082,35.8,19.3,13,17,3.59
1.099,35.5,19.7,13,17,3.05
1.017,34.5,19.7,13,20.5,3.39
1.066,36.4,20.8,13,15.5,2.77
1.099,39.5,21.2,16,12.5,2.93
1.134,39.8,21.5,16,12.5,2.94
1.08,35.8,20.3,13,18.5,3.42
1.125,38.1,21.2,13,18.5,2.51
1.076,34.5,20.1,13,17,3.23
1.077,33.4,19.2,13,15.5,2.93
1.052,33.4,19.1,13,17,2.71
1.083,34.6,19.1,13,15.5,2.89
1.092,38.5,20.6,14,10,2.8
1.14,40.1,21.7,16,12.5,2.76
1.012,35,20.8,13,15,3.34
0.888,32.9,18.8,17,17,4.53
0.974,34.9,19.2,16,15,3.39
1.094,38,20.5,16,12.5,3.27
1.215,39.8,21,16,12.5,2.44
1.056,41.2,22.5,16,13.5,2.96
1.059,41.8,22.4,17,15.5,2.91
0.93,35.5,19,16,15.5,3.76
1.031,37.9,21.7,14,14,3.48
1.031,39,21.9,16,13.5,2.52
0.91,35.2,20.9,14,15,3.6
1.019,40.9,22.6,16,14,3.61
1.27,40,22.4,16,11.5,2.51
1.047,35.2,20.1,14,14,3.89
1.03,36.1,20,14,15,3.08
1.024,37,20.6,16,12.5,3.22
1.107,44.5,22.5,16,12,3.02
0.884,34.2,19.4,16,14,3.46
1.009,36,20.4,14,15.5,2.8
0.944,38.7,22.4,14,15.5,3.8
1.064,42.7,23.1,17,14,3.53
1.15,43.5,23,17,12,3.18
1.06,39.3,22,16,12.5,2.63
0.899,35.1,20.3,17,17,3.82
0.894,34.5,20.1,17,17.5,4.33
0.956,36,19.5,16,15.5,4.09
0.928,37,21.8,14,14,2.87
0.942,35.5,19.4,16,14,3.25
0.964,39.9,22.7,16,12,2.84
0.952,40.2,21,14,15,2.56
0.842,35,19.5,17,15,3.74
1.1,42,23.9,16,12,2.79
0.893,32.2,19.4,13,23,4.75
0.955,37.5,21.2,14,14,3.64
1.102,40.2,22.7,17,13.5,3.16
0.976,35.7,19.6,14,15,3.04
0.921,37.4,21.1,17,14,3.57
0.91,34.4,19.2,17,17,3.6
0.962,38.9,21.7,14,13.5,2.67
1.149,37.3,21.1,14,12.5,2.48
0.935,33.7,20.9,11,23,4.84
0.894,38.4,21.6,16,15,3.7
0.946,37,20.5,16,15,3.51
1.143,41.6,21.1,16,12,3.56
0.939,37,21.8,16,14,3.35
0.904,34.7,20,17,14,3.73
0.995,35.3,21.1,17,16,3.68
1.1,38.4,20,16,13.5,2.85
0.945,36.8,19.8,14,14,3.25
1.139,44.1,23.3,17,12.5,3.53
1.033,40.7,20.9,17,12,3.51
1.119,40.4,22.2,17,12.5,2.26
0.949,39.4,20.9,14,13.5,3.13
0.834,34.5,19,17,17.5,3.36
1.022,36.5,20.2,14,15,2.88
0.998,37,21.4,17,14,2.9
0.865,34.7,19,17,17.5,4.59
0.994,40.5,21.7,17,12,3
1.132,42.9,23,17,10.5,2.61
1.057,36.2,20.3,14,15,2.81
0.98,37.9,21.7,17,15.5,2.72
1.163,39.3,21.2,14,12.5,2.49
0.961,35.1,19.5,14,14,3.18
1.034,37.7,21.5,16,12.5,2.48
1.184,38.8,22.3,14,19.5,3.11
0.934,34.6,19.3,17,14,3.66
1.094,33.9,19.5,13,18.5,3.46
0.946,31.3,18.5,13,25.5,4.31
1.022,34.2,19.3,13,20.5,3.51
1.056,33.7,18.9,13,20.5,3.18
0.912,34.3,19.8,16,19.5,3.91
1.005,32.5,19.5,10,22.5,4.58
1.147,37.6,22.6,13,12.5,2.32
1.152,39.5,21,17,15,2.76
0.911,34.6,19.4,16,16,3.61
0.91,33.6,19.3,16,18.5,4.58
1.056,34.4,19.6,13,17.5,3.52
1.2,38.4,20.9,16,12.5,2.32
0.96,39.5,21.3,14,14,3.53
0.959,31.8,19.3,14,15.5,3.71
0.925,39.5,21,14,13.5,3.16
0.946,36.8,20.6,14,15.5,4.06
0.932,38.5,20.7,14,15,2.46
1.215,34.7,20.6,14,12.5,3.2
1.064,38.5,20.9,14,14,2.92
0.939,34.5,19.9,17,19.5,3.8
0.973,37.3,20.1,16,16,2.88
0.952,37.3,20.1,14,12.5,2.77
0.872,34.2,20.1,17,17.5,4.23
0.976,37.1,20.7,14,16,3.14
1.007,41.4,22.4,14,14,3.74
1.093,40.3,20.8,14,11.5,2.32
0.911,34,19.8,14,16,4.62
0.982,34.8,20.1,14,13.5,2.78
1.01,37,19.9,14,15,3.44
0.865,38.2,20.9,17,16,3.92
1.049,35,19,14,12.5,3.26
1.316,40.8,21.7,14,11.5,2.15
1.166,40.5,22.4,16,11.5,2.62
1.04,40.5,21.9,14,12.5,2.74
1.157,39.8,20.6,14,12.5,2.46
1.063,39.2,21.7,16,10,3.11
0.983,34.5,19,14,16,3.1
0.964,35.3,20.7,14,17,3.61
0.947,37.9,20.4,14,12.5,3.57
1.047,37.5,20.4,14,12.5,3.06
0.884,31.8,19.8,16,19.5,3.71
0.999,34,19.6,14,12.5,3.66
1.194,40.5,22.8,16,10,2.41
1.344,40.9,22.1,14,12,1.91
0.949,33.9,19.1,14,14,4.08
1.06,41.5,23.1,14,12.5,2.94
1.183,42.2,21.5,16,10.5,2.58
1.219,41.2,20.9,14,10.5,2.3
1.125,38.4,21.5,14,14,2.36
1.114,37.7,20.5,14,12.5,2.5
1.144,37.6,20.3,14,14,3.49
1.163,40.8,19.5,14,12.5,2.75
1.041,37.6,20.3,14,12.5,2.63
1.118,40.8,20.1,14,12.5,3.01
1.113,40,22.9,14,12.5,2.81
1.069,37.8,20.3,14,13.5,3.69
1.212,37.6,20.3,14,11.5,2.62
1.097,38,20.8,14,11.5,3.47
0.918,35.7,20.6,14,17.5,3.83
1.18,37.8,20.3,14,12.5,2.48
1.001,34.5,19.1,14,15.5,3.59
1.081,39.6,22.4,16,11.5,3.03
0.979,34.6,19.9,14,12.5,3.3
1.137,37.9,20.7,14,10.5,2.15
1.091,37.6,20.4,14,13.5,3.26
1.256,39.1,21.1,14,12,2.25
1.029,37.7,20.5,14,11.5,3.38
1.212,37.9,20.5,14,10.5,2.04
1.226,40,22.1,14,11.5,2.15
1.396,40.7,23.4,14,12.5,1.61
0.939,33.7,19.2,14,14,4.6
1.055,40.5,20.1,14,15,3.99
1.077,38.7,20.9,14,13.5,2.98
1.092,37.5,20.2,14,12.5,2.92
1.073,39.1,20,14,15,3.34
1.066,37.9,20.7,14,13.5,3.36
1.214,38,20.6,14,13.5,3.07
1.288,38.4,20.4,14,10.5,1.91
1.232,37.7,20.1,16,10.5,2.22
1.181,37.1,20.1,14,14,3.27
1.113,36.3,19.2,16,11.5,2.44
1.124,37.2,20.1,16,12,2.6
1.296,40.9,20.9,13,10,2.23
1.069,38.3,20.9,14,13.5,3.14
1.075,37.8,20.7,14,16,2.91
1.18,38.1,20.6,14,13.5,3.01
1.041,37.3,20.1,14,13.5,3.33
1.005,38.1,21.1,14,14,2.93
1.327,42.3,22.2,13,10,2.14
0.991,33.3,19.1,14,14,3.19
0.931,37.4,20.1,14,14,2.62
1.106,38.1,20.8,14,13.5,2.54
0.921,35,18.8,16,17.5,4.05
1.157,38.1,20.3,16,12,3.06
1.152,37.6,20.1,14,12.5,3.39
0.998,39.1,20.4,14,12.5,3.48
0.963,34.6,19.3,14,15.5,2.5
1.261,37.3,20.2,14,11.5,2.03
1.391,40.8,21.7,14,10,2.05
1.048,42.9,23,14,16,2.92
1.135,37.8,20.3,16,10.5,2.53
1.041,36.9,20,14,15,3.86
1.049,37.2,20.2,14,17,3.7
1.146,37.7,20.5,13,16,2.88
1.085,37,19.5,14,15,3.47
1.13,37.9,20.2,13,15,2.45
0.985,33.1,19.1,14,17,3.57
1.152,39.2,20.4,14,10.5,2.66
0.997,33.9,18.4,17,15,3.78
1.253,35.3,20.3,14,11.5,2.16
1.054,39.1,20.6,14,12,3.24
0.996,37.9,20.5,14,13.5,2.01
0.986,33.7,19,14,17.5,3.27
1.098,37.5,21.8,14,12.5,3.23
1.131,38.3,19.7,14,12,2.48
1.083,34.9,19.2,14,15.5,2.83
1.202,42.5,21.5,14,11.5,2.45
1.068,37.6,19.8,14,11.5,2.78
1.117,39.5,21.9,16,10,2.71
1.111,39.3,21.5,14,12,2.52
0.959,34.1,18.4,14,13.5,2.84
1.057,37.9,21.4,14,15,2.67
1.043,37.3,20.2,14,12.5,2.66
1.03,37.8,20,14,14,2.95
1.25,44.1,22.1,16,10,2.22
0.991,33.2,18.4,14,13.5,3.67
0.934,34.4,19.3,14,14,2.81
1.166,37.9,20.3,14,10,2.28
1.225,39.7,22.2,13,10.5,2.11
1.306,41.3,21.8,13,10,2.15
1.326,42.2,23.5,13,10,1.86
0.941,37,19.7,14,12.5,2.69
1.1,39.3,21.8,14,12.5,2.82
0.995,38.9,21.1,14,12.5,3.08
1.125,42,23.2,14,12.5,2.5
